;	Simulated Data
;	t0	2010.35
s2	;	name	of	the	star
;	mK	13.95
;	spectral	type	B2
;	square	10.
;	facSchwarzschild	0	0
;	facSpecialRelativity	0	0
;	facGravitationalRedshift	0	0
;	facRetardation	0	0
;	useEllipse	FALSE
;	omegaSys	0	0
;	Dec2	0	0
;	Ra2	0	0
;	vDec2	0	0
;	vRa2	0	0
;	best	fitting	orbit	paramters
0.124972968666	0.0000322501699219	;	semi-major	axis	in	arcsec	sigma
0.884421772005	0.0000566453970085	;	numerical	eccentricity	sigma
16.0460213382	0.00124015685951	;	orbital	period	in	years	sigma
2018.37901526	0.0000799327986137	;	epoch	of	periastron	passage	in	years	sigma
134.682325911	0.0244947970764	;	inclination	in	deg	sigma
228.192975708	0.0279397213551	;	position	angle	of	ascending	node	in	deg	sigma
66.2808487239	0.0272268433839	;	longitude	of	periastron	in	deg	sigma
0	0	;	Ra	center	(J2000)	of	orbit	in	arcsec	sigma	prior	-0.00057	0.00015	2010.35
0	0	;	Dec	center	(J2000)	of	orbit	in	arcsec	sigma	prior	-0.000055	0.00025	2010.35
0	0	;	Ra	velocity	of	center	arcsec/year	sigma	prior	0.000063	6.6e-6
0	0	;	Dec	velocity	of	center	inarcsec/year	sigma	prior	0.000032	0.000019
0	0	;	radial	velocity	of	center	in	km/s	sigma	prior	0	5.
8275.29770065	8.87121129028	;	distance	in	pc	sigma
4.2961633283e6	11966.2249046	;	mass	in	Msun	sigma
;	position	data	date	RA	delta	RA	DEC	delta	DEC
1992.	-0.00469616676836	0.00001	0.176147552781	0.00001	;	simulated NACO
1992.002	-0.00471922735542	0.00001	0.176157811467	0.00001	;	simulated NACO
1992.004	-0.00474228743009	0.00001	0.176168051026	0.00001	;	simulated NACO
1992.006	-0.00476534699001	0.00001	0.176178271463	0.00001	;	simulated NACO
1992.008	-0.00478840603283	0.00001	0.176188472783	0.00001	;	simulated NACO
1992.01	-0.00481146455622	0.00001	0.176198654991	0.00001	;	simulated NACO
1992.012	-0.00483452255784	0.00001	0.17620881809	0.00001	;	simulated NACO
1992.014	-0.00485758003533	0.00001	0.176218962087	0.00001	;	simulated NACO
1992.016	-0.00488063698638	0.00001	0.176229086985	0.00001	;	simulated NACO
1992.018	-0.00490369340862	0.00001	0.17623919279	0.00001	;	simulated NACO
1992.02	-0.00492674929974	0.00001	0.176249279506	0.00001	;	simulated NACO
1992.022	-0.0049498046574	0.00001	0.176259347138	0.00001	;	simulated NACO
1992.024	-0.00497285947926	0.00001	0.17626939569	0.00001	;	simulated NACO
1992.026	-0.00499591376299	0.00001	0.176279425168	0.00001	;	simulated NACO
1992.028	-0.00501896750627	0.00001	0.176289435576	0.00001	;	simulated NACO
